"indicator1","indicator2","indicator3","X","Y","Z","X,Y","Y,Z","X,Z","X,Y,Z","pop"
"blank1","blank2","ext",100,100,2,100,2,2,2,7270000
"blank1","blank2","female",100,100,,100,,,,7270000
"blank1","blank2","fifteento49",100,100,,100,,,,7270000
"blank1","blank2","fiveto14",100,100,,100,,,,7270000
"blank1","blank2","gt49",100,100,,100,,,,7270000
"blank1","blank2","higher",,,,,,,,7270000
"blank1","blank2","male",100,100,,100,,,,7270000
"blank1","blank2","no.birth.reg",,,,,,,,7270000
"blank1","blank2","no.educ",,,,,,,,7270000
"blank1","blank2","no.skilled.attendant",,,,,,,,7270000
"blank1","blank2","non.p20",100,100,97,100,97,97,97,7270000
"blank1","blank2","p20",100,100,3,100,3,3,3,7270000
"blank1","blank2","primary",,,,,,,,7270000
"blank1","blank2","rural",100,100,,100,,,,7270000
"blank1","blank2","secondary",,,,,,,,7270000
"blank1","blank2","stunted",,,,,,,,7270000
"blank1","blank2","under5",100,100,,100,,,,7270000
"blank1","blank2","urban",100,100,,100,,,,7270000
"blank1","ext","female",100,2,,2,,,,7270000
"blank1","ext","fifteento49",100,2,,2,,,,7270000
"blank1","ext","fiveto14",100,2,,2,,,,7270000
"blank1","ext","gt49",100,2,,2,,,,7270000
"blank1","ext","higher",,,,,,,,7270000
"blank1","ext","male",100,2,,2,,,,7270000
"blank1","ext","no.birth.reg",,,,,,,,7270000
"blank1","ext","no.educ",,,,,,,,7270000
"blank1","ext","no.skilled.attendant",,,,,,,,7270000
"blank1","ext","non.p20",100,2,97,2,0,97,0,7270000
"blank1","ext","p20",100,2,3,2,2,3,2,7270000
"blank1","ext","primary",,,,,,,,7270000
"blank1","ext","rural",100,2,,2,,,,7270000
"blank1","ext","secondary",,,,,,,,7270000
"blank1","ext","stunted",,,,,,,,7270000
"blank1","ext","under5",100,2,,2,,,,7270000
"blank1","ext","urban",100,2,,2,,,,7270000
"blank1","female","fifteento49",100,,,,,,,7270000
"blank1","female","fiveto14",100,,,,,,,7270000
"blank1","female","gt49",100,,,,,,,7270000
"blank1","female","higher",,,,,,,,7270000
"blank1","female","male",100,,,,,,,7270000
"blank1","female","no.birth.reg",,,,,,,,7270000
"blank1","female","no.educ",,,,,,,,7270000
"blank1","female","no.skilled.attendant",,,,,,,,7270000
