"indicator1","indicator2","indicator3","X","Y","Z","X,Y","Y,Z","X,Z","X,Y,Z","pop"
"blank1","blank2","ext",100,100,4,100,4,4,4,30565461
"blank1","blank2","female",100,100,50,100,50,50,50,30565461
"blank1","blank2","fifteento49",100,100,50,100,50,50,50,30565461
"blank1","blank2","fiveto14",100,100,20,100,20,20,20,30565461
"blank1","blank2","gt49",100,100,20,100,20,20,20,30565461
"blank1","blank2","higher",100,100,26,100,26,26,26,16258243
"blank1","blank2","male",100,100,50,100,50,50,50,30565461
"blank1","blank2","no.birth.reg",100,100,,100,,,,2993251
"blank1","blank2","no.educ",100,100,33,100,33,33,33,16258243
"blank1","blank2","no.skilled.attendant",100,100,63,100,63,63,63,8147404
"blank1","blank2","non.p20",100,100,93,100,93,93,93,30565461
"blank1","blank2","p20",100,100,7,100,7,7,7,30565461
"blank1","blank2","primary",100,100,67,100,67,67,67,16258243
"blank1","blank2","rural",100,100,31,100,31,31,31,30565461
"blank1","blank2","secondary",100,100,50,100,50,50,50,16258243
"blank1","blank2","stunted",100,100,14,100,14,14,14,2993251
"blank1","blank2","under5",100,100,10,100,10,10,10,30565461
"blank1","blank2","urban",100,100,69,100,69,69,69,30565461
"blank1","ext","female",100,4,50,4,2,50,2,30565461
"blank1","ext","fifteento49",100,4,50,4,1,50,1,30565461
"blank1","ext","fiveto14",100,4,20,4,1,20,1,30565461
"blank1","ext","gt49",100,4,20,4,1,20,1,30565461
"blank1","ext","higher",100,3,26,3,0,26,0,16258243
"blank1","ext","male",100,4,50,4,2,50,2,30565461
"blank1","ext","no.birth.reg",100,5,,5,0,,0,2993251
"blank1","ext","no.educ",100,3,33,3,2,33,2,16258243
"blank1","ext","no.skilled.attendant",100,3,63,3,2,63,2,8147404
"blank1","ext","non.p20",100,4,93,4,0,93,0,30565461
"blank1","ext","p20",100,4,7,4,4,7,4,30565461
"blank1","ext","primary",100,3,67,3,1,67,1,16258243
"blank1","ext","rural",100,4,31,4,4,31,4,30565461
"blank1","ext","secondary",100,3,50,3,0,50,0,16258243
"blank1","ext","stunted",100,5,14,5,2,14,2,2993251
"blank1","ext","under5",100,4,10,4,1,10,1,30565461
"blank1","ext","urban",100,4,69,4,0,69,0,30565461
"blank1","female","fifteento49",100,50,50,50,25,50,25,30565461
"blank1","female","fiveto14",100,50,20,50,10,20,10,30565461
"blank1","female","gt49",100,50,20,50,11,20,11,30565461
"blank1","female","higher",100,52,26,52,13,26,13,16258243
"blank1","female","male",100,50,50,50,0,50,0,30565461
"blank1","female","no.birth.reg",100,49,,49,0,,0,2993251
"blank1","female","no.educ",100,52,33,52,20,33,20,16258243
"blank1","female","no.skilled.attendant",100,100,63,100,63,63,63,8147404
"blank1","female","non.p20",100,50,93,50,47,93,47,30565461
"blank1","female","p20",100,50,7,50,3,7,3,30565461
"blank1","female","primary",100,52,67,52,32,67,32,16258243
"blank1","female","rural",100,50,31,50,15,31,15,30565461
"blank1","female","secondary",100,52,50,52,24,50,24,16258243
"blank1","female","stunted",100,49,14,49,7,14,7,2993251
"blank1","female","under5",100,50,10,50,5,10,5,30565461
"blank1","female","urban",100,50,69,50,35,69,35,30565461
"blank1","fifteento49","fiveto14",100,50,20,50,0,20,0,30565461
"blank1","fifteento49","gt49",100,50,20,50,0,20,0,30565461
"blank1","fifteento49","higher",100,62,26,62,19,26,19,16258243
"blank1","fifteento49","male",100,50,50,50,25,50,25,30565461
"blank1","fifteento49","no.birth.reg",100,0,,0,0,,0,2993251
"blank1","fifteento49","no.educ",100,62,33,62,11,33,11,16258243
"blank1","fifteento49","no.skilled.attendant",100,100,63,100,63,63,63,8147404
"blank1","fifteento49","non.p20",100,50,93,50,48,93,48,30565461
"blank1","fifteento49","p20",100,50,7,50,3,7,3,30565461
"blank1","fifteento49","primary",100,62,67,62,50,67,50,16258243
"blank1","fifteento49","rural",100,50,31,50,14,31,14,30565461
"blank1","fifteento49","secondary",100,62,50,62,37,50,37,16258243
"blank1","fifteento49","stunted",100,0,14,0,0,14,0,2993251
"blank1","fifteento49","under5",100,50,10,50,0,10,0,30565461
"blank1","fifteento49","urban",100,50,69,50,37,69,37,30565461
"blank1","fiveto14","gt49",100,20,20,20,0,20,0,30565461
"blank1","fiveto14","higher",100,0,26,0,0,26,0,16258243
"blank1","fiveto14","male",100,20,50,20,10,50,10,30565461
"blank1","fiveto14","no.birth.reg",100,0,,0,0,,0,2993251
"blank1","fiveto14","no.educ",100,0,33,0,0,33,0,16258243
"blank1","fiveto14","no.skilled.attendant",100,0,63,0,0,63,0,8147404
"blank1","fiveto14","non.p20",100,20,93,20,18,93,18,30565461
"blank1","fiveto14","p20",100,20,7,20,2,7,2,30565461
"blank1","fiveto14","primary",100,0,67,0,0,67,0,16258243
"blank1","fiveto14","rural",100,20,31,20,7,31,7,30565461
"blank1","fiveto14","secondary",100,0,50,0,0,50,0,16258243
"blank1","fiveto14","stunted",100,0,14,0,0,14,0,2993251
"blank1","fiveto14","under5",100,20,10,20,0,10,0,30565461
"blank1","fiveto14","urban",100,20,69,20,13,69,13,30565461
"blank1","gt49","higher",100,38,26,38,7,26,7,16258243
"blank1","gt49","male",100,20,50,20,10,50,10,30565461
"blank1","gt49","no.birth.reg",100,0,,0,0,,0,2993251
"blank1","gt49","no.educ",100,38,33,38,22,33,22,16258243
"blank1","gt49","no.skilled.attendant",100,0,63,0,0,63,0,8147404
"blank1","gt49","non.p20",100,20,93,20,19,93,19,30565461
"blank1","gt49","p20",100,20,7,20,1,7,1,30565461
"blank1","gt49","primary",100,38,67,38,17,67,17,16258243
"blank1","gt49","rural",100,20,31,20,6,31,6,30565461
"blank1","gt49","secondary",100,38,50,38,14,50,14,16258243
"blank1","gt49","stunted",100,0,14,0,0,14,0,2993251
"blank1","gt49","under5",100,20,10,20,0,10,0,30565461
"blank1","gt49","urban",100,20,69,20,14,69,14,30565461
"blank1","higher","male",100,26,48,26,13,48,13,16258243
"blank1","higher","no.birth.reg",,,,,,,,16258243
"blank1","higher","no.educ",100,26,33,26,0,33,0,16258243
"blank1","higher","no.skilled.attendant",100,30,63,30,19,63,19,5397392
"blank1","higher","non.p20",100,26,94,26,26,94,26,16258243
"blank1","higher","p20",100,26,6,26,0,6,0,16258243
"blank1","higher","primary",100,26,67,26,26,67,26,16258243
"blank1","higher","rural",100,26,29,26,2,29,2,16258243
"blank1","higher","secondary",100,26,50,26,26,50,26,16258243
"blank1","higher","stunted",,,,,,,,16258243
"blank1","higher","under5",100,26,0,26,0,0,0,16258243
"blank1","higher","urban",100,26,71,26,24,71,24,16258243
"blank1","male","no.birth.reg",100,51,,51,0,,0,2993251
"blank1","male","no.educ",100,48,33,48,13,33,13,16258243
"blank1","male","no.skilled.attendant",100,0,63,0,0,63,0,8147404
"blank1","male","non.p20",100,50,93,50,46,93,46,30565461
"blank1","male","p20",100,50,7,50,3,7,3,30565461
"blank1","male","primary",100,48,67,48,35,67,35,16258243
"blank1","male","rural",100,50,31,50,15,31,15,30565461
"blank1","male","secondary",100,48,50,48,27,50,27,16258243
"blank1","male","stunted",100,51,14,51,6,14,6,2993251
"blank1","male","under5",100,50,10,50,5,10,5,30565461
"blank1","male","urban",100,50,69,50,34,69,34,30565461
"blank1","no.birth.reg","no.educ",,,,,,,,16258243
"blank1","no.birth.reg","no.skilled.attendant",,,,,,,,2993251
"blank1","no.birth.reg","non.p20",100,,91,,0,91,0,2993251
"blank1","no.birth.reg","p20",100,,9,,0,9,0,2993251
"blank1","no.birth.reg","primary",,,,,,,,16258243
"blank1","no.birth.reg","rural",100,,35,,0,35,0,2993251
"blank1","no.birth.reg","secondary",,,,,,,,16258243
"blank1","no.birth.reg","stunted",100,,14,,0,14,0,2993251
"blank1","no.birth.reg","under5",100,,100,,,100,,2993251
"blank1","no.birth.reg","urban",100,,65,,0,65,0,2993251
"blank1","no.educ","no.skilled.attendant",100,22,63,22,15,63,15,5397392
"blank1","no.educ","non.p20",100,33,94,33,28,94,28,16258243
"blank1","no.educ","p20",100,33,6,33,4,6,4,16258243
"blank1","no.educ","primary",100,33,67,33,0,67,0,16258243
"blank1","no.educ","rural",100,33,29,33,17,29,17,16258243
"blank1","no.educ","secondary",100,33,50,33,0,50,0,16258243
"blank1","no.educ","stunted",,,,,,,,16258243
"blank1","no.educ","under5",100,33,0,33,0,0,0,16258243
"blank1","no.educ","urban",100,33,71,33,16,71,16,16258243
"blank1","no.skilled.attendant","non.p20",100,63,95,63,59,95,59,8147404
"blank1","no.skilled.attendant","p20",100,63,5,63,3,5,3,8147404
"blank1","no.skilled.attendant","primary",100,63,78,63,47,78,47,5397392
"blank1","no.skilled.attendant","rural",100,63,26,63,16,26,16,8147404
"blank1","no.skilled.attendant","secondary",100,63,56,63,34,56,34,5397392
"blank1","no.skilled.attendant","stunted",,,,,,,,2993251
"blank1","no.skilled.attendant","under5",100,63,0,63,0,0,0,8147404
"blank1","no.skilled.attendant","urban",100,63,74,63,46,74,46,8147404
"blank1","non.p20","p20",100,93,7,93,0,7,0,30565461
"blank1","non.p20","primary",100,94,67,94,65,67,65,16258243
"blank1","non.p20","rural",100,93,31,93,24,31,24,30565461
"blank1","non.p20","secondary",100,94,50,94,50,50,50,16258243
"blank1","non.p20","stunted",100,91,14,91,10,14,10,2993251
"blank1","non.p20","under5",100,93,10,93,9,10,9,30565461
"blank1","non.p20","urban",100,93,69,93,69,69,69,30565461
"blank1","p20","primary",100,6,67,6,2,67,2,16258243
"blank1","p20","rural",100,7,31,7,6,31,6,30565461
"blank1","p20","secondary",100,6,50,6,0,50,0,16258243
"blank1","p20","stunted",100,9,14,9,3,14,3,2993251
"blank1","p20","under5",100,7,10,7,1,10,1,30565461
"blank1","p20","urban",100,7,69,7,0,69,0,30565461
"blank1","primary","rural",100,67,29,67,12,29,12,16258243
"blank1","primary","secondary",100,67,50,67,50,50,50,16258243
"blank1","primary","stunted",,,,,,,,16258243
"blank1","primary","under5",100,67,0,67,0,0,0,16258243
"blank1","primary","urban",100,67,71,67,55,71,55,16258243
"blank1","rural","secondary",100,29,50,29,6,50,6,16258243
"blank1","rural","stunted",100,35,14,35,8,14,8,2993251
"blank1","rural","under5",100,31,10,31,3,10,3,30565461
"blank1","rural","urban",100,31,69,31,0,69,0,30565461
"blank1","secondary","stunted",,,,,,,,16258243
"blank1","secondary","under5",100,50,0,50,0,0,0,16258243
"blank1","secondary","urban",100,50,71,50,45,71,45,16258243
"blank1","stunted","under5",100,14,100,14,14,100,14,2993251
"blank1","stunted","urban",100,14,65,14,5,65,5,2993251
"blank1","under5","urban",100,10,69,10,6,69,6,30565461
"blank2","ext","female",100,4,50,4,2,50,2,30565461
"blank2","ext","fifteento49",100,4,50,4,1,50,1,30565461
"blank2","ext","fiveto14",100,4,20,4,1,20,1,30565461
"blank2","ext","gt49",100,4,20,4,1,20,1,30565461
"blank2","ext","higher",100,3,26,3,0,26,0,16258243
"blank2","ext","male",100,4,50,4,2,50,2,30565461
"blank2","ext","no.birth.reg",100,5,,5,0,,0,2993251
"blank2","ext","no.educ",100,3,33,3,2,33,2,16258243
"blank2","ext","no.skilled.attendant",100,3,63,3,2,63,2,8147404
"blank2","ext","non.p20",100,4,93,4,0,93,0,30565461
"blank2","ext","p20",100,4,7,4,4,7,4,30565461
"blank2","ext","primary",100,3,67,3,1,67,1,16258243
"blank2","ext","rural",100,4,31,4,4,31,4,30565461
"blank2","ext","secondary",100,3,50,3,0,50,0,16258243
"blank2","ext","stunted",100,5,14,5,2,14,2,2993251
"blank2","ext","under5",100,4,10,4,1,10,1,30565461
"blank2","ext","urban",100,4,69,4,0,69,0,30565461
"blank2","female","fifteento49",100,50,50,50,25,50,25,30565461
"blank2","female","fiveto14",100,50,20,50,10,20,10,30565461
"blank2","female","gt49",100,50,20,50,11,20,11,30565461
"blank2","female","higher",100,52,26,52,13,26,13,16258243
"blank2","female","male",100,50,50,50,0,50,0,30565461
"blank2","female","no.birth.reg",100,49,,49,0,,0,2993251
"blank2","female","no.educ",100,52,33,52,20,33,20,16258243
"blank2","female","no.skilled.attendant",100,100,63,100,63,63,63,8147404
"blank2","female","non.p20",100,50,93,50,47,93,47,30565461
"blank2","female","p20",100,50,7,50,3,7,3,30565461
"blank2","female","primary",100,52,67,52,32,67,32,16258243
"blank2","female","rural",100,50,31,50,15,31,15,30565461
"blank2","female","secondary",100,52,50,52,24,50,24,16258243
"blank2","female","stunted",100,49,14,49,7,14,7,2993251
"blank2","female","under5",100,50,10,50,5,10,5,30565461
"blank2","female","urban",100,50,69,50,35,69,35,30565461
"blank2","fifteento49","fiveto14",100,50,20,50,0,20,0,30565461
"blank2","fifteento49","gt49",100,50,20,50,0,20,0,30565461
"blank2","fifteento49","higher",100,62,26,62,19,26,19,16258243
"blank2","fifteento49","male",100,50,50,50,25,50,25,30565461
"blank2","fifteento49","no.birth.reg",100,0,,0,0,,0,2993251
"blank2","fifteento49","no.educ",100,62,33,62,11,33,11,16258243
"blank2","fifteento49","no.skilled.attendant",100,100,63,100,63,63,63,8147404
"blank2","fifteento49","non.p20",100,50,93,50,48,93,48,30565461
"blank2","fifteento49","p20",100,50,7,50,3,7,3,30565461
"blank2","fifteento49","primary",100,62,67,62,50,67,50,16258243
"blank2","fifteento49","rural",100,50,31,50,14,31,14,30565461
"blank2","fifteento49","secondary",100,62,50,62,37,50,37,16258243
"blank2","fifteento49","stunted",100,0,14,0,0,14,0,2993251
"blank2","fifteento49","under5",100,50,10,50,0,10,0,30565461
"blank2","fifteento49","urban",100,50,69,50,37,69,37,30565461
"blank2","fiveto14","gt49",100,20,20,20,0,20,0,30565461
"blank2","fiveto14","higher",100,0,26,0,0,26,0,16258243
"blank2","fiveto14","male",100,20,50,20,10,50,10,30565461
"blank2","fiveto14","no.birth.reg",100,0,,0,0,,0,2993251
"blank2","fiveto14","no.educ",100,0,33,0,0,33,0,16258243
"blank2","fiveto14","no.skilled.attendant",100,0,63,0,0,63,0,8147404
"blank2","fiveto14","non.p20",100,20,93,20,18,93,18,30565461
"blank2","fiveto14","p20",100,20,7,20,2,7,2,30565461
"blank2","fiveto14","primary",100,0,67,0,0,67,0,16258243
"blank2","fiveto14","rural",100,20,31,20,7,31,7,30565461
"blank2","fiveto14","secondary",100,0,50,0,0,50,0,16258243
"blank2","fiveto14","stunted",100,0,14,0,0,14,0,2993251
"blank2","fiveto14","under5",100,20,10,20,0,10,0,30565461
"blank2","fiveto14","urban",100,20,69,20,13,69,13,30565461
"blank2","gt49","higher",100,38,26,38,7,26,7,16258243
"blank2","gt49","male",100,20,50,20,10,50,10,30565461
"blank2","gt49","no.birth.reg",100,0,,0,0,,0,2993251
"blank2","gt49","no.educ",100,38,33,38,22,33,22,16258243
"blank2","gt49","no.skilled.attendant",100,0,63,0,0,63,0,8147404
"blank2","gt49","non.p20",100,20,93,20,19,93,19,30565461
"blank2","gt49","p20",100,20,7,20,1,7,1,30565461
"blank2","gt49","primary",100,38,67,38,17,67,17,16258243
"blank2","gt49","rural",100,20,31,20,6,31,6,30565461
"blank2","gt49","secondary",100,38,50,38,14,50,14,16258243
"blank2","gt49","stunted",100,0,14,0,0,14,0,2993251
"blank2","gt49","under5",100,20,10,20,0,10,0,30565461
"blank2","gt49","urban",100,20,69,20,14,69,14,30565461
"blank2","higher","male",100,26,48,26,13,48,13,16258243
"blank2","higher","no.birth.reg",,,,,,,,16258243
"blank2","higher","no.educ",100,26,33,26,0,33,0,16258243
"blank2","higher","no.skilled.attendant",100,30,63,30,19,63,19,5397392
"blank2","higher","non.p20",100,26,94,26,26,94,26,16258243
"blank2","higher","p20",100,26,6,26,0,6,0,16258243
"blank2","higher","primary",100,26,67,26,26,67,26,16258243
"blank2","higher","rural",100,26,29,26,2,29,2,16258243
"blank2","higher","secondary",100,26,50,26,26,50,26,16258243
"blank2","higher","stunted",,,,,,,,16258243
"blank2","higher","under5",100,26,0,26,0,0,0,16258243
"blank2","higher","urban",100,26,71,26,24,71,24,16258243
"blank2","male","no.birth.reg",100,51,,51,0,,0,2993251
"blank2","male","no.educ",100,48,33,48,13,33,13,16258243
"blank2","male","no.skilled.attendant",100,0,63,0,0,63,0,8147404
"blank2","male","non.p20",100,50,93,50,46,93,46,30565461
"blank2","male","p20",100,50,7,50,3,7,3,30565461
"blank2","male","primary",100,48,67,48,35,67,35,16258243
"blank2","male","rural",100,50,31,50,15,31,15,30565461
"blank2","male","secondary",100,48,50,48,27,50,27,16258243
"blank2","male","stunted",100,51,14,51,6,14,6,2993251
"blank2","male","under5",100,50,10,50,5,10,5,30565461
"blank2","male","urban",100,50,69,50,34,69,34,30565461
"blank2","no.birth.reg","no.educ",,,,,,,,16258243
"blank2","no.birth.reg","no.skilled.attendant",,,,,,,,2993251
"blank2","no.birth.reg","non.p20",100,,91,,0,91,0,2993251
"blank2","no.birth.reg","p20",100,,9,,0,9,0,2993251
"blank2","no.birth.reg","primary",,,,,,,,16258243
"blank2","no.birth.reg","rural",100,,35,,0,35,0,2993251
"blank2","no.birth.reg","secondary",,,,,,,,16258243
"blank2","no.birth.reg","stunted",100,,14,,0,14,0,2993251
"blank2","no.birth.reg","under5",100,,100,,,100,,2993251
"blank2","no.birth.reg","urban",100,,65,,0,65,0,2993251
"blank2","no.educ","no.skilled.attendant",100,22,63,22,15,63,15,5397392
"blank2","no.educ","non.p20",100,33,94,33,28,94,28,16258243
"blank2","no.educ","p20",100,33,6,33,4,6,4,16258243
"blank2","no.educ","primary",100,33,67,33,0,67,0,16258243
"blank2","no.educ","rural",100,33,29,33,17,29,17,16258243
"blank2","no.educ","secondary",100,33,50,33,0,50,0,16258243
"blank2","no.educ","stunted",,,,,,,,16258243
"blank2","no.educ","under5",100,33,0,33,0,0,0,16258243
"blank2","no.educ","urban",100,33,71,33,16,71,16,16258243
"blank2","no.skilled.attendant","non.p20",100,63,95,63,59,95,59,8147404
"blank2","no.skilled.attendant","p20",100,63,5,63,3,5,3,8147404
"blank2","no.skilled.attendant","primary",100,63,78,63,47,78,47,5397392
"blank2","no.skilled.attendant","rural",100,63,26,63,16,26,16,8147404
"blank2","no.skilled.attendant","secondary",100,63,56,63,34,56,34,5397392
"blank2","no.skilled.attendant","stunted",,,,,,,,2993251
"blank2","no.skilled.attendant","under5",100,63,0,63,0,0,0,8147404
"blank2","no.skilled.attendant","urban",100,63,74,63,46,74,46,8147404
"blank2","non.p20","p20",100,93,7,93,0,7,0,30565461
"blank2","non.p20","primary",100,94,67,94,65,67,65,16258243
"blank2","non.p20","rural",100,93,31,93,24,31,24,30565461
"blank2","non.p20","secondary",100,94,50,94,50,50,50,16258243
"blank2","non.p20","stunted",100,91,14,91,10,14,10,2993251
"blank2","non.p20","under5",100,93,10,93,9,10,9,30565461
"blank2","non.p20","urban",100,93,69,93,69,69,69,30565461
"blank2","p20","primary",100,6,67,6,2,67,2,16258243
