"indicator1","indicator2","indicator3","X","Y","Z","X,Y","Y,Z","X,Z","X,Y,Z","pop"
"blank1","blank2","ext",100,100,0,100,0,0,0,64128226
"blank1","blank2","female",100,100,,100,,,,64128226
"blank1","blank2","fifteento49",100,100,,100,,,,64128226
"blank1","blank2","fiveto14",100,100,,100,,,,64128226
"blank1","blank2","gt49",100,100,,100,,,,64128226
"blank1","blank2","higher",,,,,,,,64128226
"blank1","blank2","male",100,100,,100,,,,64128226
"blank1","blank2","no.birth.reg",,,,,,,,64128226
"blank1","blank2","no.educ",,,,,,,,64128226
"blank1","blank2","no.skilled.attendant",,,,,,,,64128226
"blank1","blank2","non.p20",100,100,99,100,99,99,99,64128226
"blank1","blank2","p20",100,100,1,100,1,1,1,64128226
"blank1","blank2","primary",,,,,,,,64128226
"blank1","blank2","rural",100,100,,100,,,,64128226
"blank1","blank2","secondary",,,,,,,,64128226
"blank1","blank2","stunted",,,,,,,,64128226
"blank1","blank2","under5",100,100,,100,,,,64128226
"blank1","blank2","urban",100,100,,100,,,,64128226
"blank1","ext","female",100,0,,0,,,,64128226
"blank1","ext","fifteento49",100,0,,0,,,,64128226
"blank1","ext","fiveto14",100,0,,0,,,,64128226
"blank1","ext","gt49",100,0,,0,,,,64128226
"blank1","ext","higher",,,,,,,,64128226
"blank1","ext","male",100,0,,0,,,,64128226
"blank1","ext","no.birth.reg",,,,,,,,64128226
"blank1","ext","no.educ",,,,,,,,64128226
"blank1","ext","no.skilled.attendant",,,,,,,,64128226
"blank1","ext","non.p20",100,0,99,0,0,99,0,64128226
"blank1","ext","p20",100,0,1,0,0,1,0,64128226
"blank1","ext","primary",,,,,,,,64128226
"blank1","ext","rural",100,0,,0,,,,64128226
"blank1","ext","secondary",,,,,,,,64128226
"blank1","ext","stunted",,,,,,,,64128226
"blank1","ext","under5",100,0,,0,,,,64128226
"blank1","ext","urban",100,0,,0,,,,64128226
"blank1","female","fifteento49",100,,,,,,,64128226
"blank1","female","fiveto14",100,,,,,,,64128226
"blank1","female","gt49",100,,,,,,,64128226
"blank1","female","higher",,,,,,,,64128226
"blank1","female","male",100,,,,,,,64128226
"blank1","female","no.birth.reg",,,,,,,,64128226
"blank1","female","no.educ",,,,,,,,64128226
"blank1","female","no.skilled.attendant",,,,,,,,64128226
"blank1","female","non.p20",100,,99,,,99,,64128226
"blank1","female","p20",100,,1,,,1,,64128226
"blank1","female","primary",,,,,,,,64128226
"blank1","female","rural",100,,,,,,,64128226
"blank1","female","secondary",,,,,,,,64128226
"blank1","female","stunted",,,,,,,,64128226
"blank1","female","under5",100,,,,,,,64128226
"blank1","female","urban",100,,,,,,,64128226
"blank1","fifteento49","fiveto14",100,,,,,,,64128226
"blank1","fifteento49","gt49",100,,,,,,,64128226
"blank1","fifteento49","higher",,,,,,,,64128226
"blank1","fifteento49","male",100,,,,,,,64128226
"blank1","fifteento49","no.birth.reg",,,,,,,,64128226
"blank1","fifteento49","no.educ",,,,,,,,64128226
"blank1","fifteento49","no.skilled.attendant",,,,,,,,64128226
"blank1","fifteento49","non.p20",100,,99,,,99,,64128226
"blank1","fifteento49","p20",100,,1,,,1,,64128226
"blank1","fifteento49","primary",,,,,,,,64128226
"blank1","fifteento49","rural",100,,,,,,,64128226
"blank1","fifteento49","secondary",,,,,,,,64128226
"blank1","fifteento49","stunted",,,,,,,,64128226
"blank1","fifteento49","under5",100,,,,,,,64128226
"blank1","fifteento49","urban",100,,,,,,,64128226
"blank1","fiveto14","gt49",100,,,,,,,64128226
"blank1","fiveto14","higher",,,,,,,,64128226
"blank1","fiveto14","male",100,,,,,,,64128226
"blank1","fiveto14","no.birth.reg",,,,,,,,64128226
"blank1","fiveto14","no.educ",,,,,,,,64128226
"blank1","fiveto14","no.skilled.attendant",,,,,,,,64128226
"blank1","fiveto14","non.p20",100,,99,,,99,,64128226
"blank1","fiveto14","p20",100,,1,,,1,,64128226
"blank1","fiveto14","primary",,,,,,,,64128226
"blank1","fiveto14","rural",100,,,,,,,64128226
"blank1","fiveto14","secondary",,,,,,,,64128226
"blank1","fiveto14","stunted",,,,,,,,64128226
"blank1","fiveto14","under5",100,,,,,,,64128226
"blank1","fiveto14","urban",100,,,,,,,64128226
"blank1","gt49","higher",,,,,,,,64128226
"blank1","gt49","male",100,,,,,,,64128226
"blank1","gt49","no.birth.reg",,,,,,,,64128226
"blank1","gt49","no.educ",,,,,,,,64128226
"blank1","gt49","no.skilled.attendant",,,,,,,,64128226
"blank1","gt49","non.p20",100,,99,,,99,,64128226
"blank1","gt49","p20",100,,1,,,1,,64128226
"blank1","gt49","primary",,,,,,,,64128226
"blank1","gt49","rural",100,,,,,,,64128226
"blank1","gt49","secondary",,,,,,,,64128226
"blank1","gt49","stunted",,,,,,,,64128226
"blank1","gt49","under5",100,,,,,,,64128226
"blank1","gt49","urban",100,,,,,,,64128226
"blank1","higher","male",,,,,,,,64128226
"blank1","higher","no.birth.reg",,,,,,,,64128226
"blank1","higher","no.educ",,,,,,,,64128226
"blank1","higher","no.skilled.attendant",,,,,,,,64128226
"blank1","higher","non.p20",,,,,,,,64128226
"blank1","higher","p20",,,,,,,,64128226
"blank1","higher","primary",,,,,,,,64128226
"blank1","higher","rural",,,,,,,,64128226
"blank1","higher","secondary",,,,,,,,64128226
"blank1","higher","stunted",,,,,,,,64128226
"blank1","higher","under5",,,,,,,,64128226
"blank1","higher","urban",,,,,,,,64128226
"blank1","male","no.birth.reg",,,,,,,,64128226
"blank1","male","no.educ",,,,,,,,64128226
"blank1","male","no.skilled.attendant",,,,,,,,64128226
"blank1","male","non.p20",100,,99,,,99,,64128226
"blank1","male","p20",100,,1,,,1,,64128226
"blank1","male","primary",,,,,,,,64128226
"blank1","male","rural",100,,,,,,,64128226
"blank1","male","secondary",,,,,,,,64128226
"blank1","male","stunted",,,,,,,,64128226
"blank1","male","under5",100,,,,,,,64128226
"blank1","male","urban",100,,,,,,,64128226
"blank1","no.birth.reg","no.educ",,,,,,,,64128226
"blank1","no.birth.reg","no.skilled.attendant",,,,,,,,64128226
"blank1","no.birth.reg","non.p20",,,,,,,,64128226
"blank1","no.birth.reg","p20",,,,,,,,64128226
"blank1","no.birth.reg","primary",,,,,,,,64128226
"blank1","no.birth.reg","rural",,,,,,,,64128226
"blank1","no.birth.reg","secondary",,,,,,,,64128226
"blank1","no.birth.reg","stunted",,,,,,,,64128226
"blank1","no.birth.reg","under5",,,,,,,,64128226
"blank1","no.birth.reg","urban",,,,,,,,64128226
"blank1","no.educ","no.skilled.attendant",,,,,,,,64128226
"blank1","no.educ","non.p20",,,,,,,,64128226
"blank1","no.educ","p20",,,,,,,,64128226
"blank1","no.educ","primary",,,,,,,,64128226
"blank1","no.educ","rural",,,,,,,,64128226
"blank1","no.educ","secondary",,,,,,,,64128226
"blank1","no.educ","stunted",,,,,,,,64128226
"blank1","no.educ","under5",,,,,,,,64128226
"blank1","no.educ","urban",,,,,,,,64128226
"blank1","no.skilled.attendant","non.p20",,,,,,,,64128226
"blank1","no.skilled.attendant","p20",,,,,,,,64128226
"blank1","no.skilled.attendant","primary",,,,,,,,64128226
"blank1","no.skilled.attendant","rural",,,,,,,,64128226
"blank1","no.skilled.attendant","secondary",,,,,,,,64128226
"blank1","no.skilled.attendant","stunted",,,,,,,,64128226
"blank1","no.skilled.attendant","under5",,,,,,,,64128226
"blank1","no.skilled.attendant","urban",,,,,,,,64128226
"blank1","non.p20","p20",100,99,1,99,0,1,0,64128226
"blank1","non.p20","primary",,,,,,,,64128226
"blank1","non.p20","rural",100,99,,99,,,,64128226
"blank1","non.p20","secondary",,,,,,,,64128226
"blank1","non.p20","stunted",,,,,,,,64128226
"blank1","non.p20","under5",100,99,,99,,,,64128226
"blank1","non.p20","urban",100,99,,99,,,,64128226
"blank1","p20","primary",,,,,,,,64128226
"blank1","p20","rural",100,1,,1,,,,64128226
"blank1","p20","secondary",,,,,,,,64128226
"blank1","p20","stunted",,,,,,,,64128226
"blank1","p20","under5",100,1,,1,,,,64128226
"blank1","p20","urban",100,1,,1,,,,64128226
"blank1","primary","rural",,,,,,,,64128226
"blank1","primary","secondary",,,,,,,,64128226
"blank1","primary","stunted",,,,,,,,64128226
"blank1","primary","under5",,,,,,,,64128226
"blank1","primary","urban",,,,,,,,64128226
"blank1","rural","secondary",,,,,,,,64128226
"blank1","rural","stunted",,,,,,,,64128226
"blank1","rural","under5",100,,,,,,,64128226
