"indicator1","indicator2","indicator3","X","Y","Z","X,Y","Y,Z","X,Z","X,Y,Z","pop"
"blank1","blank2","ext",100,100,1,100,1,1,1,34107366
"blank1","blank2","female",100,100,49,100,49,49,49,34107366
"blank1","blank2","fifteento49",100,100,49,100,49,49,49,34107366
"blank1","blank2","fiveto14",100,100,26,100,26,26,26,34107366
"blank1","blank2","gt49",100,100,10,100,10,10,10,34107366
"blank1","blank2","higher",100,100,17,100,17,17,17,13293986
"blank1","blank2","male",100,100,51,100,51,51,51,34107366
"blank1","blank2","no.birth.reg",100,100,1,100,1,1,1,5455593
"blank1","blank2","no.educ",100,100,35,100,35,35,35,13293986
"blank1","blank2","no.skilled.attendant",100,100,65,100,65,65,65,8259821
"blank1","blank2","non.p20",100,100,94,100,94,94,94,34107366
"blank1","blank2","p20",100,100,6,100,6,6,6,34107366
"blank1","blank2","primary",100,100,65,100,65,65,65,13293986
"blank1","blank2","rural",100,100,30,100,30,30,30,34107366
"blank1","blank2","secondary",100,100,43,100,43,43,43,13293986
"blank1","blank2","stunted",100,100,22,100,22,22,22,5455593
"blank1","blank2","under5",100,100,15,100,15,15,15,34107366
"blank1","blank2","urban",100,100,70,100,70,70,70,34107366
"blank1","ext","female",100,1,49,1,1,49,1,34107366
"blank1","ext","fifteento49",100,1,49,1,1,49,1,34107366
"blank1","ext","fiveto14",100,1,26,1,0,26,0,34107366
"blank1","ext","gt49",100,1,10,1,0,10,0,34107366
"blank1","ext","higher",100,1,17,1,0,17,0,13293986
"blank1","ext","male",100,1,51,1,1,51,1,34107366
"blank1","ext","no.birth.reg",100,2,1,2,0,1,0,5455593
"blank1","ext","no.educ",100,1,35,1,1,35,1,13293986
"blank1","ext","no.skilled.attendant",100,1,65,1,1,65,1,8259821
"blank1","ext","non.p20",100,1,94,1,0,94,0,34107366
"blank1","ext","p20",100,1,6,1,1,6,1,34107366
"blank1","ext","primary",100,1,65,1,0,65,0,13293986
"blank1","ext","rural",100,1,30,1,1,30,1,34107366
"blank1","ext","secondary",100,1,43,1,0,43,0,13293986
"blank1","ext","stunted",100,2,22,2,0,22,0,5455593
"blank1","ext","under5",100,1,15,1,0,15,0,34107366
"blank1","ext","urban",100,1,70,1,0,70,0,34107366
"blank1","female","fifteento49",100,49,49,49,24,49,24,34107366
"blank1","female","fiveto14",100,49,26,49,13,26,13,34107366
"blank1","female","gt49",100,49,10,49,6,10,6,34107366
"blank1","female","higher",100,51,17,51,6,17,6,13293986
"blank1","female","male",100,49,51,49,0,51,0,34107366
"blank1","female","no.birth.reg",100,49,1,49,0,1,0,5455593
"blank1","female","no.educ",100,51,35,51,23,35,23,13293986
"blank1","female","no.skilled.attendant",100,100,65,100,65,65,65,8259821
