"indicator1","indicator2","indicator3","X","Y","Z","X,Y","Y,Z","X,Z","X,Y,Z","pop"
"blank1","blank2","ext",100,100,12,100,12,12,12,97571676
"blank1","blank2","female",100,100,50,100,50,50,50,97571676
"blank1","blank2","fifteento49",100,100,51,100,51,51,51,97571676
"blank1","blank2","fiveto14",100,100,23,100,23,23,23,97571676
"blank1","blank2","gt49",100,100,16,100,16,16,16,97571676
"blank1","blank2","higher",100,100,31,100,31,31,31,46630356
"blank1","blank2","male",100,100,50,100,50,50,50,97571676
"blank1","blank2","no.birth.reg",100,100,,100,,,,11032011
"blank1","blank2","no.educ",100,100,17,100,17,17,17,46630356
"blank1","blank2","no.skilled.attendant",100,100,66,100,66,66,66,25285201
"blank1","blank2","non.p20",100,100,75,100,75,75,75,97571676
"blank1","blank2","p20",100,100,25,100,25,25,25,97571676
"blank1","blank2","primary",100,100,83,100,83,83,83,46630356
"blank1","blank2","rural",100,100,52,100,52,52,52,97571676
"blank1","blank2","secondary",100,100,56,100,56,56,56,46630356
"blank1","blank2","stunted",100,100,,100,,,,11032011
"blank1","blank2","under5",100,100,11,100,11,11,11,97571676
"blank1","blank2","urban",100,100,48,100,48,48,48,97571676
"blank1","ext","female",100,12,50,12,6,50,6,97571676
"blank1","ext","fifteento49",100,12,51,12,5,51,5,97571676
"blank1","ext","fiveto14",100,12,23,12,4,23,4,97571676
"blank1","ext","gt49",100,12,16,12,1,16,1,97571676
"blank1","ext","higher",100,9,31,9,0,31,0,46630356
"blank1","ext","male",100,12,50,12,6,50,6,97571676
"blank1","ext","no.birth.reg",100,16,,16,0,,0,11032011
"blank1","ext","no.educ",100,9,17,9,5,17,5,46630356
"blank1","ext","no.skilled.attendant",100,9,66,9,7,66,7,25285201
"blank1","ext","non.p20",100,12,75,12,0,75,0,97571676
"blank1","ext","p20",100,12,25,12,12,25,12,97571676
"blank1","ext","primary",100,9,83,9,4,83,4,46630356
"blank1","ext","rural",100,12,52,12,10,52,10,97571676
"blank1","ext","secondary",100,9,56,9,1,56,1,46630356
"blank1","ext","stunted",100,16,,16,0,,0,11032011
"blank1","ext","under5",100,12,11,12,2,11,2,97571676
"blank1","ext","urban",100,12,48,12,2,48,2,97571676
"blank1","female","fifteento49",100,50,51,50,25,51,25,97571676
"blank1","female","fiveto14",100,50,23,50,11,23,11,97571676
"blank1","female","gt49",100,50,16,50,9,16,9,97571676
"blank1","female","higher",100,51,31,51,16,31,16,46630356
"blank1","female","male",100,50,50,50,0,50,0,97571676
"blank1","female","no.birth.reg",100,48,,48,0,,0,11032011
"blank1","female","no.educ",100,51,17,51,8,17,8,46630356
"blank1","female","no.skilled.attendant",100,100,66,100,66,66,66,25285201
"blank1","female","non.p20",100,50,75,50,38,75,38,97571676
"blank1","female","p20",100,50,25,50,12,25,12,97571676
"blank1","female","primary",100,51,83,51,43,83,43,46630356
"blank1","female","rural",100,50,52,50,26,52,26,97571676
"blank1","female","secondary",100,51,56,51,29,56,29,46630356
"blank1","female","stunted",100,48,,48,0,,0,11032011
"blank1","female","under5",100,50,11,50,5,11,5,97571676
"blank1","female","urban",100,50,48,50,24,48,24,97571676
"blank1","fifteento49","fiveto14",100,51,23,51,0,23,0,97571676
"blank1","fifteento49","gt49",100,51,16,51,0,16,0,97571676
"blank1","fifteento49","higher",100,66,31,66,23,31,23,46630356
"blank1","fifteento49","male",100,51,50,51,26,50,26,97571676
"blank1","fifteento49","no.birth.reg",100,0,,0,0,,0,11032011
"blank1","fifteento49","no.educ",100,66,17,66,9,17,9,46630356
"blank1","fifteento49","no.skilled.attendant",100,100,66,100,66,66,66,25285201
"blank1","fifteento49","non.p20",100,51,75,51,39,75,39,97571676
"blank1","fifteento49","p20",100,51,25,51,11,25,11,97571676
