"indicator1","indicator2","indicator3","X","Y","Z","X,Y","Y,Z","X,Z","X,Y,Z","pop"
"blank1","blank2","ext",100,100,52,100,52,52,52,6928719
"blank1","blank2","female",100,100,52,100,52,52,52,6928719
"blank1","blank2","fifteento49",100,100,42,100,42,42,42,6928719
"blank1","blank2","fiveto14",100,100,30,100,30,30,30,6928719
"blank1","blank2","gt49",100,100,12,100,12,12,12,6928719
"blank1","blank2","higher",100,100,5,100,5,5,5,2614223
"blank1","blank2","male",100,100,48,100,48,48,48,6928719
"blank1","blank2","no.birth.reg",100,100,,100,,,,1125359
"blank1","blank2","no.educ",100,100,61,100,61,61,61,2614223
"blank1","blank2","no.skilled.attendant",100,100,59,100,59,59,59,1689457
"blank1","blank2","non.p20",100,100,35,100,35,35,35,6928719
"blank1","blank2","p20",100,100,65,100,65,65,65,6928719
"blank1","blank2","primary",100,100,39,100,39,39,39,2614223
"blank1","blank2","rural",100,100,62,100,62,62,62,6928719
"blank1","blank2","secondary",100,100,8,100,8,8,8,2614223
"blank1","blank2","stunted",100,100,23,100,23,23,23,1125359
"blank1","blank2","under5",100,100,15,100,15,15,15,6928719
"blank1","blank2","urban",100,100,38,100,38,38,38,6928719
"blank1","ext","female",100,52,52,52,26,52,26,6928719
"blank1","ext","fifteento49",100,52,42,52,19,42,19,6928719
"blank1","ext","fiveto14",100,52,30,52,18,30,18,6928719
"blank1","ext","gt49",100,52,12,52,7,12,7,6928719
"blank1","ext","higher",100,48,5,48,0,5,0,2614223
"blank1","ext","male",100,52,48,52,25,48,25,6928719
"blank1","ext","no.birth.reg",100,55,,55,0,,0,1125359
"blank1","ext","no.educ",100,48,61,48,39,61,39,2614223
"blank1","ext","no.skilled.attendant",100,44,59,44,31,59,31,1689457
"blank1","ext","non.p20",100,52,35,52,0,35,0,6928719
"blank1","ext","p20",100,52,65,52,52,65,52,6928719
"blank1","ext","primary",100,48,39,48,9,39,9,2614223
"blank1","ext","rural",100,52,62,52,51,62,51,6928719
"blank1","ext","secondary",100,48,8,48,0,8,0,2614223
"blank1","ext","stunted",100,55,23,55,11,23,11,1125359
"blank1","ext","under5",100,52,15,52,8,15,8,6928719
"blank1","ext","urban",100,52,38,52,1,38,1,6928719
