"indicator1","indicator2","indicator3","X","Y","Z","X,Y","Y,Z","X,Z","X,Y,Z","pop"
"blank1","blank2","ext",100,100,13,100,13,13,13,2180000
"blank1","blank2","female",100,100,,100,,,,2180000
"blank1","blank2","fifteento49",100,100,,100,,,,2180000
"blank1","blank2","fiveto14",100,100,,100,,,,2180000
"blank1","blank2","gt49",100,100,,100,,,,2180000
"blank1","blank2","higher",,,,,,,,2180000
"blank1","blank2","male",100,100,,100,,,,2180000
"blank1","blank2","no.birth.reg",,,,,,,,2180000
"blank1","blank2","no.educ",,,,,,,,2180000
"blank1","blank2","no.skilled.attendant",,,,,,,,2180000
"blank1","blank2","non.p20",100,100,78,100,78,78,78,2180000
"blank1","blank2","p20",100,100,22,100,22,22,22,2180000
"blank1","blank2","primary",,,,,,,,2180000
"blank1","blank2","rural",100,100,,100,,,,2180000
"blank1","blank2","secondary",,,,,,,,2180000
"blank1","blank2","stunted",,,,,,,,2180000
"blank1","blank2","under5",100,100,,100,,,,2180000
"blank1","blank2","urban",100,100,,100,,,,2180000
"blank1","ext","female",100,13,,13,,,,2180000
"blank1","ext","fifteento49",100,13,,13,,,,2180000
"blank1","ext","fiveto14",100,13,,13,,,,2180000
"blank1","ext","gt49",100,13,,13,,,,2180000
"blank1","ext","higher",,,,,,,,2180000
"blank1","ext","male",100,13,,13,,,,2180000
"blank1","ext","no.birth.reg",,,,,,,,2180000
"blank1","ext","no.educ",,,,,,,,2180000
"blank1","ext","no.skilled.attendant",,,,,,,,2180000
"blank1","ext","non.p20",100,13,78,13,0,78,0,2180000
"blank1","ext","p20",100,13,22,13,13,22,13,2180000
"blank1","ext","primary",,,,,,,,2180000
"blank1","ext","rural",100,13,,13,,,,2180000
"blank1","ext","secondary",,,,,,,,2180000
"blank1","ext","stunted",,,,,,,,2180000
"blank1","ext","under5",100,13,,13,,,,2180000
"blank1","ext","urban",100,13,,13,,,,2180000
"blank1","female","fifteento49",100,,,,,,,2180000
"blank1","female","fiveto14",100,,,,,,,2180000
"blank1","female","gt49",100,,,,,,,2180000
"blank1","female","higher",,,,,,,,2180000
"blank1","female","male",100,,,,,,,2180000
"blank1","female","no.birth.reg",,,,,,,,2180000
