"indicator1","indicator2","indicator3","X","Y","Z","X,Y","Y,Z","X,Z","X,Y,Z","pop"
"blank1","blank2","ext",100,100,50,100,50,50,50,10322232
"blank1","blank2","female",100,100,51,100,51,51,51,10322232
"blank1","blank2","fifteento49",100,100,40,100,40,40,40,10322232
"blank1","blank2","fiveto14",100,100,32,100,32,32,32,10322232
"blank1","blank2","gt49",100,100,12,100,12,12,12,10322232
"blank1","blank2","higher",100,100,4,100,4,4,4,3857782
"blank1","blank2","male",100,100,49,100,49,49,49,10322232
"blank1","blank2","no.birth.reg",100,100,18,100,18,18,18,1655857
"blank1","blank2","no.educ",100,100,77,100,77,77,77,3857782
"blank1","blank2","no.skilled.attendant",100,100,43,100,43,43,43,2457219
"blank1","blank2","non.p20",100,100,34,100,34,34,34,10322232
"blank1","blank2","p20",100,100,66,100,66,66,66,10322232
"blank1","blank2","primary",100,100,23,100,23,23,23,3857782
"blank1","blank2","rural",100,100,58,100,58,58,58,10322232
"blank1","blank2","secondary",100,100,6,100,6,6,6,3857782
"blank1","blank2","stunted",100,100,42,100,42,42,42,1655857
"blank1","blank2","under5",100,100,16,100,16,16,16,10322232
"blank1","blank2","urban",100,100,42,100,42,42,42,10322232
"blank1","ext","female",100,50,51,50,25,51,25,10322232
"blank1","ext","fifteento49",100,50,40,50,17,40,17,10322232
"blank1","ext","fiveto14",100,50,32,50,18,32,18,10322232
"blank1","ext","gt49",100,50,12,50,6,12,6,10322232
"blank1","ext","higher",100,48,4,48,0,4,0,3857782
"blank1","ext","male",100,50,49,50,25,49,25,10322232
"blank1","ext","no.birth.reg",100,53,18,53,14,18,14,1655857
"blank1","ext","no.educ",100,48,77,48,45,77,45,3857782
"blank1","ext","no.skilled.attendant",100,44,43,44,20,43,20,2457219
"blank1","ext","non.p20",100,50,34,50,0,34,0,10322232
"blank1","ext","p20",100,50,66,50,50,66,50,10322232
"blank1","ext","primary",100,48,23,48,3,23,3,3857782
"blank1","ext","rural",100,50,58,50,42,58,42,10322232
"blank1","ext","secondary",100,48,6,48,0,6,0,3857782
"blank1","ext","stunted",100,53,42,53,17,42,17,1655857
"blank1","ext","under5",100,50,16,50,9,16,9,10322232
"blank1","ext","urban",100,50,42,50,9,42,9,10322232
"blank1","female","fifteento49",100,51,40,51,21,40,21,10322232
"blank1","female","fiveto14",100,51,32,51,16,32,16,10322232
