"indicator1","indicator2","indicator3","X","Y","Z","X,Y","Y,Z","X,Z","X,Y,Z","pop"
"blank1","blank2","ext",100,100,4,100,4,4,4,91378752
"blank1","blank2","female",100,100,51,100,51,51,51,91378752
"blank1","blank2","fifteento49",100,100,52,100,52,52,52,91378752
"blank1","blank2","fiveto14",100,100,16,100,16,16,16,91378752
"blank1","blank2","gt49",100,100,24,100,24,24,24,91378752
"blank1","blank2","higher",100,100,15,100,15,15,15,53516571
"blank1","blank2","male",100,100,49,100,49,49,49,91378752
"blank1","blank2","no.birth.reg",100,100,4,100,4,4,4,7616387
"blank1","blank2","no.educ",100,100,22,100,22,22,22,53516571
"blank1","blank2","no.skilled.attendant",100,100,82,100,82,82,82,25831489
"blank1","blank2","non.p20",100,100,92,100,92,92,92,91378752
"blank1","blank2","p20",100,100,8,100,8,8,8,91378752
"blank1","blank2","primary",100,100,78,100,78,78,78,53516571
"blank1","blank2","rural",100,100,68,100,68,68,68,91378752
"blank1","blank2","secondary",100,100,69,100,69,69,69,53516571
"blank1","blank2","stunted",100,100,,100,,,,7616387
"blank1","blank2","under5",100,100,8,100,8,8,8,91378752
"blank1","blank2","urban",100,100,32,100,32,32,32,91378752
"blank1","ext","female",100,4,51,4,2,51,2,91378752
"blank1","ext","fifteento49",100,4,52,4,2,52,2,91378752
"blank1","ext","fiveto14",100,4,16,4,1,16,1,91378752
"blank1","ext","gt49",100,4,24,4,1,24,1,91378752
"blank1","ext","higher",100,3,15,3,0,15,0,53516571
"blank1","ext","male",100,4,49,4,2,49,2,91378752
"blank1","ext","no.birth.reg",100,5,4,5,1,4,1,7616387
"blank1","ext","no.educ",100,3,22,3,2,22,2,53516571
"blank1","ext","no.skilled.attendant",100,3,82,3,3,82,3,25831489
"blank1","ext","non.p20",100,4,92,4,0,92,0,91378752
"blank1","ext","p20",100,4,8,4,4,8,4,91378752
"blank1","ext","primary",100,3,78,3,1,78,1,53516571
"blank1","ext","rural",100,4,68,4,3,68,3,91378752
"blank1","ext","secondary",100,3,69,3,1,69,1,53516571
"blank1","ext","stunted",100,5,,5,0,,0,7616387
"blank1","ext","under5",100,4,8,4,0,8,0,91378752
"blank1","ext","urban",100,4,32,4,0,32,0,91378752
"blank1","female","fifteento49",100,51,52,51,26,52,26,91378752
"blank1","female","fiveto14",100,51,16,51,8,16,8,91378752
"blank1","female","gt49",100,51,24,51,13,24,13,91378752
"blank1","female","higher",100,53,15,53,7,15,7,53516571
"blank1","female","male",100,51,49,51,0,49,0,91378752
"blank1","female","no.birth.reg",100,48,4,48,2,4,2,7616387
"blank1","female","no.educ",100,53,22,53,14,22,14,53516571
"blank1","female","no.skilled.attendant",100,100,82,100,82,82,82,25831489
"blank1","female","non.p20",100,51,92,51,47,92,47,91378752
"blank1","female","p20",100,51,8,51,4,8,4,91378752
"blank1","female","primary",100,53,78,53,38,78,38,53516571
"blank1","female","rural",100,51,68,51,34,68,34,91378752
"blank1","female","secondary",100,53,69,53,33,69,33,53516571
"blank1","female","stunted",100,48,,48,0,,0,7616387
"blank1","female","under5",100,51,8,51,4,8,4,91378752
"blank1","female","urban",100,51,32,51,16,32,16,91378752
"blank1","fifteento49","fiveto14",100,52,16,52,0,16,0,91378752
"blank1","fifteento49","gt49",100,52,24,52,0,24,0,91378752
"blank1","fifteento49","higher",100,61,15,61,11,15,11,53516571
"blank1","fifteento49","male",100,52,49,52,26,49,26,91378752
"blank1","fifteento49","no.birth.reg",100,0,4,0,0,4,0,7616387
"blank1","fifteento49","no.educ",100,61,22,61,10,22,10,53516571
"blank1","fifteento49","no.skilled.attendant",100,100,82,100,82,82,82,25831489
"blank1","fifteento49","non.p20",100,52,92,52,48,92,48,91378752
"blank1","fifteento49","p20",100,52,8,52,4,8,4,91378752
"blank1","fifteento49","primary",100,61,78,61,51,78,51,53516571
"blank1","fifteento49","rural",100,52,68,52,35,68,35,91378752
"blank1","fifteento49","secondary",100,61,69,61,47,69,47,53516571
"blank1","fifteento49","stunted",100,0,,0,0,,0,7616387
"blank1","fifteento49","under5",100,52,8,52,0,8,0,91378752
"blank1","fifteento49","urban",100,52,32,52,17,32,17,91378752
"blank1","fiveto14","gt49",100,16,24,16,0,24,0,91378752
"blank1","fiveto14","higher",100,0,15,0,0,15,0,53516571
"blank1","fiveto14","male",100,16,49,16,8,49,8,91378752
"blank1","fiveto14","no.birth.reg",100,0,4,0,0,4,0,7616387
"blank1","fiveto14","no.educ",100,0,22,0,0,22,0,53516571
"blank1","fiveto14","no.skilled.attendant",100,0,82,0,0,82,0,25831489
"blank1","fiveto14","non.p20",100,16,92,16,14,92,14,91378752
"blank1","fiveto14","p20",100,16,8,16,2,8,2,91378752
"blank1","fiveto14","primary",100,0,78,0,0,78,0,53516571
"blank1","fiveto14","rural",100,16,68,16,11,68,11,91378752
"blank1","fiveto14","secondary",100,0,69,0,0,69,0,53516571
"blank1","fiveto14","stunted",100,0,,0,0,,0,7616387
"blank1","fiveto14","under5",100,16,8,16,0,8,0,91378752
"blank1","fiveto14","urban",100,16,32,16,5,32,5,91378752
"blank1","gt49","higher",100,39,15,39,5,15,5,53516571
"blank1","gt49","male",100,24,49,24,11,49,11,91378752
"blank1","gt49","no.birth.reg",100,0,4,0,0,4,0,7616387
"blank1","gt49","no.educ",100,39,22,39,13,22,13,53516571
"blank1","gt49","no.skilled.attendant",100,0,82,0,0,82,0,25831489
"blank1","gt49","non.p20",100,24,92,24,22,92,22,91378752
"blank1","gt49","p20",100,24,8,24,1,8,1,91378752
"blank1","gt49","primary",100,39,78,39,27,78,27,53516571
"blank1","gt49","rural",100,24,68,24,16,68,16,91378752
"blank1","gt49","secondary",100,39,69,39,22,69,22,53516571
"blank1","gt49","stunted",100,0,,0,0,,0,7616387
"blank1","gt49","under5",100,24,8,24,0,8,0,91378752
"blank1","gt49","urban",100,24,32,24,8,32,8,91378752
"blank1","higher","male",100,15,47,15,8,47,8,53516571
"blank1","higher","no.birth.reg",,,,,,,,53516571
"blank1","higher","no.educ",100,15,22,15,0,22,0,53516571
"blank1","higher","no.skilled.attendant",100,18,82,18,13,82,13,17647788
"blank1","higher","non.p20",100,15,93,15,15,93,15,53516571
"blank1","higher","p20",100,15,7,15,0,7,0,53516571
"blank1","higher","primary",100,15,78,15,15,78,15,53516571
"blank1","higher","rural",100,15,67,15,6,67,6,53516571
