"indicator1","indicator2","indicator3","X","Y","Z","X,Y","Y,Z","X,Z","X,Y,Z","pop"
"blank1","blank2","ext",100,100,0,100,0,0,0,1348240
"blank1","blank2","female",100,100,49,100,49,49,49,1348240
"blank1","blank2","fifteento49",100,100,0,100,0,0,0,1348240
"blank1","blank2","fiveto14",100,100,3,100,3,3,3,1348240
"blank1","blank2","gt49",100,100,0,100,0,0,0,1348240
"blank1","blank2","higher",,,,,,,,873271
"blank1","blank2","male",100,100,51,100,51,51,51,1348240
"blank1","blank2","no.birth.reg",100,100,4,100,4,4,4,97581
"blank1","blank2","no.educ",,,,,,,,873271
"blank1","blank2","no.skilled.attendant",100,100,0,100,0,0,0,358190
"blank1","blank2","non.p20",100,100,100,100,100,100,100,1348240
"blank1","blank2","p20",100,100,0,100,0,0,0,1348240
"blank1","blank2","primary",,,,,,,,873271
"blank1","blank2","rural",100,100,,100,,,,1348240
"blank1","blank2","secondary",,,,,,,,873271
"blank1","blank2","stunted",100,100,,100,,,,97581
"blank1","blank2","under5",100,100,97,100,97,97,97,1348240
"blank1","blank2","urban",100,100,,100,,,,1348240
"blank1","ext","female",100,0,49,0,0,49,0,1348240
"blank1","ext","fifteento49",100,0,0,0,0,0,0,1348240
"blank1","ext","fiveto14",100,0,3,0,0,3,0,1348240
"blank1","ext","gt49",100,0,0,0,0,0,0,1348240
"blank1","ext","higher",,,,,,,,873271
"blank1","ext","male",100,0,51,0,0,51,0,1348240
"blank1","ext","no.birth.reg",100,0,4,0,0,4,0,97581
"blank1","ext","no.educ",,,,,,,,873271
"blank1","ext","no.skilled.attendant",100,0,0,0,0,0,0,358190
"blank1","ext","non.p20",100,0,100,0,0,100,0,1348240
"blank1","ext","p20",100,0,0,0,0,0,0,1348240
"blank1","ext","primary",,,,,,,,873271
"blank1","ext","rural",100,0,,0,0,,0,1348240
"blank1","ext","secondary",,,,,,,,873271
"blank1","ext","stunted",100,0,,0,0,,0,97581
"blank1","ext","under5",100,0,97,0,0,97,0,1348240
"blank1","ext","urban",100,0,,0,0,,0,1348240
"blank1","female","fifteento49",100,49,0,49,0,0,0,1348240
"blank1","female","fiveto14",100,49,3,49,3,3,3,1348240
"blank1","female","gt49",100,49,0,49,0,0,0,1348240
"blank1","female","higher",,,,,,,,873271
"blank1","female","male",100,49,51,49,0,51,0,1348240
"blank1","female","no.birth.reg",100,48,4,48,0,4,0,97581
"blank1","female","no.educ",,,,,,,,873271
"blank1","female","no.skilled.attendant",100,100,0,100,0,0,0,358190
"blank1","female","non.p20",100,49,100,49,49,100,49,1348240
"blank1","female","p20",100,49,0,49,0,0,0,1348240
