"indicator1","indicator2","indicator3","X","Y","Z","X,Y","Y,Z","X,Z","X,Y,Z","pop"
"blank1","blank2","ext",100,100,1,100,1,1,1,38186135
"blank1","blank2","female",100,100,49,100,49,49,49,38186135
"blank1","blank2","fifteento49",100,100,56,100,56,56,56,38186135
"blank1","blank2","fiveto14",100,100,17,100,17,17,17,38186135
"blank1","blank2","gt49",100,100,16,100,16,16,16,38186135
"blank1","blank2","higher",100,100,10,100,10,10,10,20560223
"blank1","blank2","male",100,100,51,100,51,51,51,38186135
"blank1","blank2","no.birth.reg",100,100,0,100,0,0,0,4440807
"blank1","blank2","no.educ",100,100,36,100,36,36,36,20560223
"blank1","blank2","no.skilled.attendant",100,100,78,100,78,78,78,10567376
"blank1","blank2","non.p20",100,100,94,100,94,94,94,38186135
"blank1","blank2","p20",100,100,6,100,6,6,6,38186135
"blank1","blank2","primary",100,100,64,100,64,64,64,20560223
"blank1","blank2","rural",100,100,36,100,36,36,36,38186135
"blank1","blank2","secondary",100,100,54,100,54,54,54,20560223
"blank1","blank2","stunted",100,100,12,100,12,12,12,4440807
"blank1","blank2","under5",100,100,11,100,11,11,11,38186135
"blank1","blank2","urban",100,100,64,100,64,64,64,38186135
"blank1","ext","female",100,1,49,1,1,49,1,38186135
"blank1","ext","fifteento49",100,1,56,1,1,56,1,38186135
"blank1","ext","fiveto14",100,1,17,1,0,17,0,38186135
"blank1","ext","gt49",100,1,16,1,0,16,0,38186135
"blank1","ext","higher",100,1,10,1,0,10,0,20560223
"blank1","ext","male",100,1,51,1,1,51,1,38186135
"blank1","ext","no.birth.reg",100,2,0,2,0,0,0,4440807
"blank1","ext","no.educ",100,1,36,1,1,36,1,20560223
"blank1","ext","no.skilled.attendant",100,1,78,1,1,78,1,10567376
"blank1","ext","non.p20",100,1,94,1,0,94,0,38186135
"blank1","ext","p20",100,1,6,1,1,6,1,38186135
"blank1","ext","primary",100,1,64,1,0,64,0,20560223
"blank1","ext","rural",100,1,36,1,1,36,1,38186135
"blank1","ext","secondary",100,1,54,1,0,54,0,20560223
"blank1","ext","stunted",100,2,12,2,0,12,0,4440807
"blank1","ext","under5",100,1,11,1,0,11,0,38186135
"blank1","ext","urban",100,1,64,1,0,64,0,38186135
"blank1","female","fifteento49",100,49,56,49,28,56,28,38186135
"blank1","female","fiveto14",100,49,17,49,8,17,8,38186135
"blank1","female","gt49",100,49,16,49,8,16,8,38186135
"blank1","female","higher",100,50,10,50,5,10,5,20560223
"blank1","female","male",100,49,51,49,0,51,0,38186135
"blank1","female","no.birth.reg",100,49,0,49,0,0,0,4440807
"blank1","female","no.educ",100,50,36,50,22,36,22,20560223
"blank1","female","no.skilled.attendant",100,100,78,100,78,78,78,10567376
"blank1","female","non.p20",100,49,94,49,46,94,46,38186135
"blank1","female","p20",100,49,6,49,3,6,3,38186135
"blank1","female","primary",100,50,64,50,28,64,28,20560223
"blank1","female","rural",100,49,36,49,18,36,18,38186135
"blank1","female","secondary",100,50,54,50,23,54,23,20560223
"blank1","female","stunted",100,49,12,49,5,12,5,4440807
"blank1","female","under5",100,49,11,49,5,11,5,38186135
"blank1","female","urban",100,49,64,49,31,64,31,38186135
"blank1","fifteento49","fiveto14",100,56,17,56,0,17,0,38186135
"blank1","fifteento49","gt49",100,56,16,56,0,16,0,38186135
"blank1","fifteento49","higher",100,70,10,70,9,10,9,20560223
"blank1","fifteento49","male",100,56,51,56,28,51,28,38186135
"blank1","fifteento49","no.birth.reg",100,0,0,0,0,0,0,4440807
"blank1","fifteento49","no.educ",100,70,36,70,15,36,15,20560223
